,index,arg_id,prev_arg_id,Argument,Concern1,Concern2,depth,Concern3,Concern4,Concern5
0,0,Depth1_44,Depth0,A degree is important for a lot of careers and the idea of these costs will put a lot of students off studying to degree level.,job,,1,,,
1,1,Depth1_68,Depth0,For many young people studying is the only way to achieve decent living conditions in the future. You may think about a slightly smaller fee or one that will be paid after graduation and finding the right job.,job,,1,,,
2,2,Depth1_5,Depth0,better education for everyone leads to a better country with high paying and more successful jobs etc,job,,1,,,
3,3,Depth1_60,Depth0,Fee free education will encourage more diversity in the student population and later in the workplace.,free,,1,,,
4,4,Depth1_1,Depth0,"education should be free as well as health services , it should be a human right",free,,1,,,
5,5,Depth1_18,Depth0,"It places a big financial burden onto the student, because they rarely have the money readily available.",debt,,1,,,
6,6,Depth1_23,Depth0,It forces prospective students to take on significant debt. this will be a heavy burden to non-stem students who are likely to earn less than their counterparts.,debt,,1,,,
7,7,Depth1_73,Depth0,living as a student is difficult enough just getting by with little side jobs . if a fee then has to be paid as well the students who are not so fortunate run the risk of ending up with huge debts .,debt,job,1,,,
8,8,Depth1_17,Depth0,"the amount asked to be paid by the students is very high and most of them might need to take a student loan to continue their studies , placing them in debt even before they start to work .",debt,,1,,,
9,9,Depth1_11,Depth0,"Education should be available for everyone , not for only ones who can afford it.",affordable,,1,,,
10,10,Depth1_6,Depth0,"they are too high. not everyone can afford such an expense, therefore, knowledge is available for certain privileged groups only.",affordable,,1,,,
11,11,Depth1_9,Depth0,9k fees maintain social injustices for those who can afford higher education and thus should be abolished in order to fight social inequality.,affordable,accessible,1,,,
12,12,Depth1_53,Depth0,"Higher education at bachelor-master level should be still widely accessible, and such a high fee certainly does not make it accessible.",accessible,,1,,,
13,13,Depth1_66,Depth0,Education is essential to better civilisation and should be accessible by all those who desire to learn,accessible,,1,,,
14,14,Depth1_4,Depth0,"everyone should have access to a free university education , regardless of their economic capacity",free,accessible,1,,,
15,0,Depth2_1,Depth1_44,"A degree is important but not necessary, often companies also want people that have better work ethics and more work experience instead of academic knowledge.",job,,2,,,
16,1,Depth2_2,Depth1_44,I don't think that the number of students will be significantly reduced by paid studies. If someone is determined to study then he will find financial resources for the payment even if he has to find a float or take a loan.,loan,,2,,,
17,2,Depth2_3,Depth1_44,"Education is important not only from an individual point of view, but also for society. Everyone should be encouraged to go to university. Maybe student loans need to be reframed to the student saying thank you when they can afford to do so.",afford,loan,2,,,
18,3,Depth2_4,Depth1_68,"But what if this person who is given free education is someone who does not have the skills to actually have that profession? And just be, for example, a doctor, because it was given to you for free.",free,,2,,,
19,4,Depth2_5,Depth1_68,"There are loans about so no one pays fees up front anyway, only when they have secured a job. ",loan,job,2,,,
20,5,Depth2_6,Depth1_68,"When it comes to such students, I think that you can introduce for them some kind of a scholarship, which would compensate for school fees for good results in learning.",scholarship,,2,,,
21,6,Depth2_7,Depth1_68,Young people should have access to good careers and FE advice through their schools and colleges.,job,accessible,2,,,
22,7,Depth2_8,Depth1_5,"Everyone already has access to higher education by taking the loan, which should not be a problem to repay if the graduate gets a good job",loan,job,2,accessible,,
23,8,Depth2_9,Depth1_5,"I agree, better education has a positive impact far beyond better paying jobs. Therefore no one should be discouraged from going to university. Student loans and financial support are available for those who cannot pay upfront.",loan,job,2,,,
24,9,Depth2_10,Depth1_5,Better education does not mean it's free. But better education actually leads to better performance and the possibility of better jobs.,job,free,2,,,
25,10,Depth2_11,Depth1_60,Sure but then the government will have to enforce taxes in order to sustain the universities,government,tax,2,,,
26,11,Depth2_12,Depth1_60,"Why is diversity in the student population worthwhile as an aim in itself, if there is equal opportunity to finance education through student loans.",loan,,2,,,
27,12,Depth2_13,Depth1_60,If a student really wants to do a degree in their chosen field they will take on the tuition fee loan or look for other ways to achieve a degree. Maybe the less committed would think twice before pursuing a degree. A degree isnât for everyone. ,loan,,2,,,
28,13,Depth2_14,Depth1_1,"I agree in principle, however, a large proportion of the population will never go to university, therefore it would be unfair to let them pay for it through taxes.",tax,,2,,,
29,14,Depth2_15,Depth1_1,"Regardless whether education is a human right or not, making it free will only lower the quality available to everyone. Free education would be wasted on some people. ",free,,2,,,
30,15,Depth2_16,Depth1_1,"Education is not a human right. In the UK you receive a free education upto the age of 18, if you choose to remain in education after this you should pay for it. ",free,,2,,,
31,16,Depth2_17,Depth1_18,Student loans are a common situation and the banks actually have good contracts with students to help them with this heavy burden at a young age.,loan,,2,,,
32,17,Depth2_18,Depth1_18,"They don't have to have the money readily available, since there is an option to take a student loan which you only pay back after graduating when your income exceeds a certain level.",loan,,2,,,
33,18,Depth2_19,Depth1_18,"I think student loans are a perfect instrument for that, basically saying ""pay it back when you can"".",loan,,2,,,
34,19,Depth2_20,Depth1_23,If you want to go to University this is a financial sacrifice you may have to make. Earnings are likely to be on par once you have a degree and get a job. ,job,,2,,,
35,20,Depth2_21,Depth1_23,Those who earn less must have greater help if the intent is to continue. It's Not beneficial for any student to have debts.,debt,,2,,,
36,21,Depth2_22,Depth1_23,If they are earning enough to repay the loan they have nothing to worry about it. ,loan,,2,,,
37,22,Depth2_23,Depth1_23,"The free market dictates remuneration; when deciding on a non-stem field, students need to take into consideration such aspects.",free,,2,,,
38,23,Depth2_24,Depth1_73,"Even if they end up with a debt, it is likely they will have the resource to pay it back, because they will a good job",job,debt,2,,,
39,24,Depth2_25,Depth1_73,"Students with high potential to succeed can access a variety of scholarships and the like. Further, there's nothing to stop a prospective student from taking some time to save up the funds.",scholarship,accessible,2,,,
40,25,Depth2_26,Depth1_73,"The student fee debt should be repayable only over a certain level of income and it should not contribute to a negative credit record, etc.",debt,,2,,,
41,26,Depth2_27,Depth1_17,There are systems in place to assist students in such cases and the loan is not needed to be repaid immediately. ,loan,,2,,,
42,27,Depth2_28,Depth1_17,By this logic we also could not make loans to buy a house or a car. There must be priorities. However the rates should be a bit lower.,loan,,2,,,
43,28,Depth2_29,Depth1_11,"Not everyone can be a doctor or engineer, there are a lot of other work prospects in other areas",job,,2,,,
44,29,Depth2_30,Depth1_11,People who can't afford have government help. Government can't afford free education for all unless they increase the taxes and people won't like it.,afford,government,2,tax,free,
45,30,Depth2_31,Depth1_11,"Student loans allow further education for everyone, otherwise the funding would have to come from a graduate tax or a tax on everyone.",tax,loan,2,,,
46,31,Depth2_32,Depth1_11,Education has so many different forms so in todays digitalized world it's not true that is not available. Talented students can always make it by applying for scholarships. There are online platforms offering cheap education.,scholarship,,2,,,
47,32,Depth2_33,Depth1_11,Everyone should be able to afford tuition fees if they are paid for by readily accessible student loans that are only repaid at an affordable rate over a reasonable threshold of income.,afford,loan,2,accessible,,
48,33,Depth2_34,Depth1_6,The loan system is in in place to prevent this happening. All economic groups should factor in loan repayment costs and work out if it is affordable  to go to uni. ,loan,job,2,,,
49,34,Depth2_35,Depth1_6,"Not everyone should have a university degree, otherwise who would build houses, work the fields etc. A talented student can have scholarships to get into otherwise expensive universities as well.",scholarship,job,2,,,
50,35,Depth2_36,Depth1_6,"Government helps to pay the education for people who can't afford such expenses and fees are too high for people who can't pay, but the cost of a degree to a government is much more higher than 9K.",afford,government,2,,,
51,36,Depth2_37,Depth1_6,"That is why loans exist, to equal the playing field so everyone can access university education. The sector has to be funded somehow and people need to value a university education.",loan,accessible,2,,,
52,37,Depth2_38,Depth1_9,There are plenty of options for students that can't pay college or can't pay it at the moment. Scholarships or loans are examples of that.,loan,scholarship,2,,,
53,38,Depth2_39,Depth1_53,"The high fee can be covered by a student loan which is accessible to everyone and which will not be payable until a certain level of income. Furthermore, such a fee ensures that universities keep their funding and remain active and widely available.",loan,accessible,2,,,
54,39,Depth2_40,Depth1_53,It is more widely accessible now than it has ever been. More people go to university now than ever before.,accessible,,2,,,
55,40,Depth2_41,Depth1_53,Education should be the responsibility of the state to the magistrate level. And any fees charged on forced internships of educated graduates.,free,,2,,,
56,41,Depth2_42,Depth1_66,"It's true that education is essential to better civilisation, but it IS accessible by all those who desire it. Nothing is impossible, there are plenty of options to earn money with a good job or even pay a loan.",loan,job,2,accessible,,
57,42,Depth2_43,Depth1_66,"There is the opportunity of scholarships that exceptional students stand out and only students that deserve it, have tuitions for free",scholarship,free,2,,,
58,43,Depth2_44,Depth1_66,"Tuition fees donât make things inaccessible, just make it necessary for people to really consider whether university is right for them and their career path",job,,2,,,
59,44,Depth2_45,Depth1_4,"Everyone HAS access to university education due to the student loans that are given to everybody. It should, however, not be for free, hence free university education means increasing taxes for everyone, including those that do not go to university.",tax,loan,2,accessible,free,
60,45,Depth2_46,Depth1_4,"Yes, but if people are really good students there are free scholarships for poor people",scholarship,free,2,,,
61,46,Depth2_47,Depth1_4,"Concessions should be made for those who are not able to financially afford  university education. However, they must meet certain qualifying criteria first.",afford,,2,,,
62,47,Depth2_48,Depth1_4,"Agreed, but poorer students are supported by the loan system which will not cripple them with debt as you only have to pay it back on a certain percentage. ",loan,debt,2,,,
63,48,Depth2_49,Depth1_4,"There are many jobs that require a certain skillset, which can not be obtained without spending money on it.",job,,2,,,
64,0,Depth3_11,Depth2_1,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough.",job,,3,,,
65,1,Depth3_21,Depth2_1,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  ,job,,3,,,
66,2,Depth3_31,Depth2_1,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs,job,,3,,,
67,3,Depth3_12,Depth2_11,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,tax,free,3,,,
68,4,Depth3_22,Depth2_11,More likely to get jobs that earn decent wages and start contributing via Tax and ni,tax,job,3,,,
69,5,Depth3_32,Depth2_11,"In Scotland tertiary education is free, and nobody complains about how it is funded. ",free,,3,,,
70,6,Depth3_13,Depth2_17,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. ,loan,interest,3,,,
71,7,Depth3_23,Depth2_17,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. ",loan,debt,3,,,
72,8,Depth3_33,Depth2_17,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",government,loan,3,,,
73,9,Depth3_14,Depth2_29,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds",job,,3,,,
74,10,Depth3_24,Depth2_29,But why should somebody's background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. ,background,,3,,,
75,11,Depth3_15,Depth2_39,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,",government,job,3,,,
76,12,Depth3_25,Depth2_39,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. ,loan,job,3,,,
77,13,Depth3_16,Depth2_2,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.,loan,,3,,,
78,14,Depth3_26,Depth2_2,Burdening students with a large amount of debt is bad for personal finances across the country and bad for the economy in the long term.,debt,,3,,,
79,15,Depth3_34,Depth2_12,the problem is that there isn't an equal opportunity to finance education through student loans. Those in less fortunate financial situations will still be far less inclined to take out loans.,loan,,3,,,
80,16,Depth3_41,Depth2_12,There is equal opportunity but not always equal ability. Those from less privileged backgrounds might not be educated to know about funding or their parents might not be able to complete the application forms to get the students the means based funding.,background,,3,,,
81,17,Depth3_51,Depth2_12,Many teenagers whose parents did not go to uni and never took a loan might be talked out by their parents,loan,,3,,,
82,18,Depth3_35,Depth2_18,Students who have only just become legal adults should not have to take out a loan or get themselves into debt just to go to university as it is likely that at that age they will not understand the consequences of a loan.,loan,debt,3,,,
